CNPJ_Fundo,Nome_Fundo,Lucro_Contabil,Rendimentos_Declarados,%Distribuido
15.333.306/0001-37,FUNDO DE INVESTIMENTO IMOBILIARIO  FII EDIFICIO GALERIA,0.0,633549.54,inf
15.333.306/0001-37,FUNDO DE INVESTIMENTO IMOBILIARIO  FII EDIFICIO GALERIA,0.0,1503193.54,inf
15.447.108/0001-02,GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,50086309.57,inf
15.447.108/0001-02,GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIARIO,0.0,25723864.49,inf
15.447.108/0001-02,GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIARIO,0.0,50086310.04,inf
15.447.110/0001-73,FUNDO DE INVESTIMENTO IMOBILIARIO SHOPPING CIDADE JARDIM,0.0,11341589.52,inf
15.447.110/0001-73,FUNDO DE INVESTIMENTO IMOBILIARIO SHOPPING CIDADE JARDIM,0.0,18718476.57,inf
15.447.110/0001-73,FUNDO DE INVESTIMENTO IMOBILIARIO SHOPPING CIDADE JARDIM,0.0,12240956.93,inf
15.447.110/0001-73,FUNDO DE INVESTIMENTO IMOBILIARIO SHOPPING CIDADE JARDIM,0.0,25284588.92,inf
15.570.431/0001-60,BANRISUL NOVAS FRONTEIRAS FII,0.0,2802392.47,inf
15.570.431/0001-60,BANRISUL NOVAS FRONTEIRAS FII,0.0,5769267.02,inf
15.570.431/0001-60,BANRISUL NOVAS FRONTEIRAS FII,0.0,2934542.43,inf
15.570.431/0001-60,BANRISUL NOVAS FRONTEIRAS FII,0.0,5596477.36,inf
15.576.907/0001-70,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO,0.0,37456002.0,inf
15.799.397/0001-09,FII CEO CYRELA COMMERCIAL PROPERTIES,0.0,2347376.94,inf
15.799.397/0001-09,FII CEO CYRELA COMMERCIAL PROPERTIES,0.0,4619428.04,inf
15.799.397/0001-09,FII CEO CYRELA COMMERCIAL PROPERTIES,0.0,2468799.69,inf
15.799.397/0001-09,FII CEO CYRELA COMMERCIAL PROPERTIES,0.0,4948370.77,inf
16.671.412/0001-93,FII TELLUS RIO BRAVO RENDA LOGISTICA,0.0,16189077.26,inf
