Nome_Fundo,Ativo_Liquidez_Valor_Disponibilidades
BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.0
BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,0.0
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,37918.72
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,35503.8
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,36775.84
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,37331.08
KINEA RENDA IMOBILIARIA FII,146522.23
KINEA RENDA IMOBILIARIA FII,287427.26
KINEA RENDA IMOBILIARIA FII,199458.43
KINEA RENDA IMOBILIARIA FII,265228.72
SABIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,369690.82
SABIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,219326.74
SABIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,7646.81
SABIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,9454.4
EXITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,9609.84
EXITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,21240.53
EXITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,1180341.05
EXITUS FIAGRO - IMOBILIÁRIO,21898.48
ATRIUM NACOES UNIDAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,117.34
ATRIUM NACOES UNIDAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,117.34
ATRIUM NACOES UNIDAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,117.34
ATRIUM NACOES UNIDAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,117.34
VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,15000632.4
VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,13103130.25
VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,10343694.43
VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,10343694.43
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,26917.65
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,26917.65
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,0.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,1091961.83
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,141875.31
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,589490.86
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,127777.93
HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVEST IMOB,2000.0
HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVEST IMOB,2000.0
HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVEST IMOB,2000.0
HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVEST IMOB,2000.0
OAR - FUNDO DE INVESTIMENTO IMOBILIÁRIO,2157.88
OAR - FUNDO DE INVESTIMENTO IMOBILIÁRIO,4226.46
OAR - FUNDO DE INVESTIMENTO IMOBILIÁRIO,149151.41
OAR - FUNDO DE INVESTIMENTO IMOBILIÁRIO,1991.37
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA SEQ LOGÍSTICA RENDA,5842.58
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA SEQ LOGÍSTICA RENDA,8098.63
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA SEQ LOGÍSTICA RENDA,5187.78
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA SEQ LOGÍSTICA RENDA,780497.56
FUNDO DE INVESTIMENTO IMOBILIARIO DA REGIAO DO PORTO,1763.78
FUNDO DE INVESTIMENTO IMOBILIARIO DA REGIAO DO PORTO,1593.71
FUNDO DE INVESTIMENTO IMOBILIARIO DA REGIAO DO PORTO,2342.28
FUNDO DE INVESTIMENTO IMOBILIARIO DA REGIAO DO PORTO,1601.13
FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE,6187.9
FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE,6322.5
FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE,5472.23
FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE,2000.0
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA INCORPORAÇÃO,5859.19
