Nome_Fundo,Tipo,Valor
FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,Outras Cotas de FI,301281829.5
FUNDO DE INVEST IMOB - OURINVEST CYRELA,Ações,0.0
FUNDO DE INVEST IMOB - OURINVEST CYRELA,Ações de Sociedades,0.0
FUNDO DE INVEST IMOB - OURINVEST CYRELA,CEPAC,0.0
FUNDO DE INVEST IMOB - OURINVEST CYRELA,CRI,50829718.12
FUNDO DE INVEST IMOB - OURINVEST CYRELA,Cotas de Sociedades,0.0
FUNDO DE INVEST IMOB - OURINVEST CYRELA,FIA,0.0
FUNDO DE INVEST IMOB - OURINVEST CYRELA,FIDC,0.0
FUNDO DE INVEST IMOB - OURINVEST CYRELA,FII,19985038.14
FUNDO DE INVEST IMOB - OURINVEST CYRELA,FIP,0.0
FUNDO DE INVEST IMOB - OURINVEST CYRELA,LCI,18962487.55
FUNDO DE INVEST IMOB - OURINVEST CYRELA,LIG,0.0
FUNDO DE INVEST IMOB - OURINVEST CYRELA,Outras Cotas de FI,0.0
FUNDO DE INVEST IMOB - OURINVEST CYRELA,Outros Ativos Financeiros,20111627.5
FUNDO DE INVEST IMOB - OURINVEST RE I,Ações,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,Ações de Sociedades,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,CEPAC,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,CRI,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,Cotas de Sociedades,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,FIA,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,FIDC,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,FII,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,FIP,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,LCI,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,LIG,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,Outras Cotas de FI,0.0
FUNDO DE INVEST IMOB - OURINVEST RE I,Outros Ativos Financeiros,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,Ações,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,Ações de Sociedades,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,CEPAC,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,CRI,92952653.97
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,Cotas de Sociedades,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,FIA,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,FIDC,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,FII,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,FIP,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,LCI,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,LIG,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,Outras Cotas de FI,0.0
FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,Outros Ativos Financeiros,0.0
FUNDO DE INVEST IMOBILIARIO - FII ANHANGUERA EDUCACIONCIONAL,Outras Cotas de FI,1376919.09
FUNDO DE INVEST IMOBILIÁRIO - FII CEO CYRELA COMMERCIAL,Outras Cotas de FI,1764169.08
FUNDO DE INVEST. IMOBILIARIO - FII COMERCIAL PROGRESSIVO II,Outras Cotas de FI,3060790.5
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,Outras Cotas de FI,6836595.4
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,Outros Ativos Financeiros,10976903.29
FUNDO DE INVEST. IMOBILIÁRIO HOSPITAL UNIMED CAPIXABA,Outras Cotas de FI,160637410.02
FUNDO DE INVEST. IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,Ações de Sociedades,66000101.44
FUNDO DE INVEST. IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,Outras Cotas de FI,5353841.89
FUNDO DE INVEST. IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,Outros Ativos Financeiros,1349959.05
FUNDO DE INVESTIMENTO IMOBILIARIO  FII RBR DESENVOLVIMENTO,Outras Cotas de FI,267139.41
FUNDO DE INVESTIMENTO IMOBILIARIO - FII CAMPUS FARIA LIMA,Outras Cotas de FI,12314637.72
FUNDO DE INVESTIMENTO IMOBILIARIO - FII CENESP,Outras Cotas de FI,19107725.55
FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO CASTELO,Outras Cotas de FI,2389495.66
FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO GALERIA,Outras Cotas de FI,5319787.88
FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO GALERIA,Outros Ativos Financeiros,3503.41
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,Outras Cotas de FI,185575.91
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,Outras Cotas de FI,18169267.3
FUNDO DE INVESTIMENTO IMOBILIARIO - FII MAX RETAIL,Outras Cotas de FI,3241906.03
FUNDO DE INVESTIMENTO IMOBILIARIO - FII MEILI,Outras Cotas de FI,308572.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE,Outras Cotas de FI,17945817.48
FUNDO DE INVESTIMENTO IMOBILIARIO - FII PATEO BANDEIRANTES,Outras Cotas de FI,9682973.41
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR REND HIGH GRADE,CRI,95949683.55
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR REND HIGH GRADE,FII,13255374.0
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR REND HIGH GRADE,LCI,5022911.91
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR REND HIGH GRADE,Outras Cotas de FI,18593983.94
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RODOBENS,Outras Cotas de FI,375764.79
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TB OFFICE,Outras Cotas de FI,13312751.52
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TB OFFICE,Outros Ativos Financeiros,944525.98
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE ALMIRANTE,Outros Ativos Financeiros,1875469.86
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,Outras Cotas de FI,4652516.67
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,Outros Ativos Financeiros,1882288.7
FUNDO DE INVESTIMENTO IMOBILIARIO - VBI LOGISTICO,Outras Cotas de FI,7526174.87
FUNDO DE INVESTIMENTO IMOBILIARIO 4KIDS,Ações de Sociedades,287302070.92
FUNDO DE INVESTIMENTO IMOBILIARIO 4KIDS,Outras Cotas de FI,402122.65
FUNDO DE INVESTIMENTO IMOBILIARIO AMETISTA - FII,Outras Cotas de FI,63158.99
FUNDO DE INVESTIMENTO IMOBILIARIO BM BRASCAN LAJES CORPORATI,Outras Cotas de FI,1493233.97
FUNDO DE INVESTIMENTO IMOBILIARIO BM BRASCAN LAJES CORPORATI,Outros Ativos Financeiros,250386.23
FUNDO DE INVESTIMENTO IMOBILIARIO CENESP,Outras Cotas de FI,56426596.94
FUNDO DE INVESTIMENTO IMOBILIARIO CENESP,Outros Ativos Financeiros,346.24
