Nome_Imovel,Percentual_Vacancia,Percentual_Inadimplencia
AL_272BV,,
AL_273BV,,
AL_274BV,,
AL_275BV,,
AL_276BV,,
AL_277BV,,
AL_278BV,,
AL_279BV,,
AL_27BV,,
AL_280BV,,
AL_281BV,,
AL_282BV,,
AL_283BV,,
AL_284BV,,
AL_285BV,,
AL_286BV,,
AL_287BV,,
AL_288BV,,
AL_289BV,,
AL_28BV,,
AL_290BV,,
AL_291BV,,
AL_292BV,,
AL_293BV,,
AL_294BV,,
AL_295BV,,
AL_296BV,,
AL_297BV,,
AL_298BV,,
AL_299BV,,
AL_29BV,,
AL_2B,,
AL_300BV,,
AL_301BV,,
AL_302BV,,
AL_303BV,,
AL_304BV,,
AL_305BV,,
AL_306BV,,
AL_30BV,,
AL_31BV,,
AL_32BV,,
AL_33BV,,
AL_34BV,,
AL_35BV,,
AL_36BV,,
AL_37BV,,
AL_38BV,,
AL_408B,,
AL_410B,,
AL_41BV,,
AL_42BV,,
AL_43BV,,
AL_44BV,,
AL_45BV,,
AL_46BV,,
AL_47BV,,
AL_48BV,,
AL_501B,,
AL_502B,,
AL_509B,,
AL_702B,,
AL_704B,,
AL_706B,,
AL_708B,,
AL_710B,,
AL_802B,,
AL_802C,,
AL_804B,,
AL_806B,,
AL_808B,,
AL_810B,,
AL_810C,,
AL_901B,,
AMARAL1,0.0,0.0
AMBEV,0.0,0.0
AMBEV GRU,0.0,0.0
AMBEV PELOTAS,0.0,0.0
ANA LUCIA 81,,
ANCHIETA,0.0,0.0
ANHANGÜERA,0.0,0.0
ANM RETROFIT,0.54,0.02
ANTONIOA,0.0,0.0
ANTÔNIO DE GODÓI,,
AP 200 MAGNO,0.0,0.0
AP ANTONELLO,0.0,0.0
AP CARP 184,,
AP LAUD 124,0.0,0.0
AP LAUD 21,0.0,0.0
AP LAUD 84,0.0,0.0
AP MARIA 81,,
AP MOOCA,,
AP RAP TAV5,,
AP SB CAMPO,,
APARTAMENTO,0.0,0.0
APARTAMENTO DUPLEX 202,1.0,0.0
APD87287,0.0,0.0
APIUNA 33,,
APLUB 1,0.0,0.0
APT ANAPURUS,1.0,0.0
APT CAMBORIU,0.0,0.0
APT CAMBORIU 31C,,
APT CAMBORIU 81C,,
APTO 101,,
APTO 33 PORT,,
APTO A,0.0,0.0
APTO. 181 BLOCO C - COND VENTANA,,
AQ3 Industrial - Nova Iguaçu,0.0,1.0
AQ3 LOG Taubaté,0.0,1.0
ARAPIRACA,0.0,0.0
ARCADIA 92,0.0,0.0
ASSAÍ - SANTO ANDRÉ,0.0,0.0
ASTURIAS 34,,
ATIBA 091307,0.86,0.0
ATIBA 091308,0.0,0.0
ATIBA 091309,0.0,0.0
